goos: darwin
goarch: arm64
pkg: github.com/fiorix/go-diameter/v4/bench
cpu: Apple M1 Max
BenchmarkStaticParseCCRInitial-10        	 8682826	       137.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8672211	       141.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCRInitial-10        	 8644087	       138.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7794206	       153.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7804213	       154.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7634478	       153.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7828432	       153.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7866560	       153.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7795990	       153.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7843591	       156.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7804215	       153.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7782456	       154.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticParseCCA-10               	 7433120	       157.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11582824	       103.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11616973	       103.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11632993	       103.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11609756	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	 9349146	       113.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11513192	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11229138	       104.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11484182	       108.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11368903	       104.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize1MSCC-10         	11543053	       104.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7260975	       165.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7237376	       165.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7274275	       165.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7265614	       165.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7254762	       167.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7259614	       166.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7219527	       166.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7240969	       166.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7207392	       166.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize3MSCC-10         	 7179638	       166.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4992259	       240.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSerialize5MSCC-10         	 4987766	       240.2 ns/op	       0 B/op	       0 allocs/op
